call_id,customer_id,tower_id,duration,cost,call_type,timestamp
367552,CUST6604,TWR90,3870,-50,SMS,17/05/2026 16:55
BAD_ROW_@@@@
639299,,TWR35,3246,22.37,DATA,05-17-2026 16:55:01
608155,CUST2462,TWR19,2188,59.1,DATA,2026-05-17 16:55:01
165115,CUST4492,TWR26,786,58.9,SMS,17/05/2026 16:55
834370,CUST8567,TWR6,2615,30.39,VOICE,2026-05-17 16:55:01
834125,CUST4532,TWR11,3523,67.08,VOICE,17/05/2026 16:55
150540,CUST8991,TWR33,3121,-50,SMS,17/05/2026 16:55
292897,CUST7715,TWR52,1045,3.77,DATA,17/05/2026 16:55
688939,CUST2772,TWR42,2881,18.18,VOICE,17/05/2026 16:55
626564,CUST3347,TWR93,1790,-50,DATA,2026-05-17 16:55:01
724920,CUST6774,TWR54,231,-50,DATA,05-17-2026 16:55:01
817206,CUST4849,TWR70,1590,16.74,DATA,05-17-2026 16:55:01
895665,CUST9690,TWR38,813,-50,VOICE,2026-05-17 16:55:01
876475,CUST9114,TWR38,1248,59.19,VOICE,17/05/2026 16:55
793859,CUST5486,TWR47,414,66.57,SMS,05-17-2026 16:55:01
554485,CUST4975,TWR90,2233,80.54,VOICE,2026-05-17 16:55:01
200384,CUST4171,TWR16,578,-50,SMS,17/05/2026 16:55
936700,CUST7295,TWR50,3679,25.15,SMS,05-17-2026 16:55:01
960320,CUST4035,TWR29,1530,58.97,DATA,05-17-2026 16:55:01
102178,,TWR99,4007,90.43,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
942102,CUST5512,TWR33,4773,-50,DATA,2026-05-17 16:55:01
524612,CUST9240,TWR66,2623,-50,VOICE,05-17-2026 16:55:01
285420,CUST3951,TWR4,3143,-50,SMS,05-17-2026 16:55:01
BAD_ROW_@@@@
425996,CUST2213,TWR16,463,-50,SMS,17/05/2026 16:55
407520,CUST4096,TWR46,4022,4.3,DATA,17/05/2026 16:55
269856,CUST1944,TWR44,785,-50,DATA,17/05/2026 16:55
405855,CUST6830,TWR36,4856,-50,SMS,05-17-2026 16:55:01
244598,CUST9147,TWR72,2247,-50,SMS,2026-05-17 16:55:01
928126,CUST8123,TWR49,1868,86.58,DATA,17/05/2026 16:55
BAD_ROW_@@@@
203449,CUST5256,TWR77,4238,-50,SMS,2026-05-17 16:55:01
BAD_ROW_@@@@
628635,CUST4976,TWR45,1780,93.27,VOICE,05-17-2026 16:55:01
946959,CUST8590,TWR11,624,42.61,SMS,2026-05-17 16:55:01
549207,CUST8630,TWR34,1671,59.67,DATA,2026-05-17 16:55:01
BAD_ROW_@@@@
412237,,TWR96,2112,15.18,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
726874,CUST3942,TWR60,15,-50,DATA,17/05/2026 16:55
518284,CUST8412,TWR2,2525,-50,SMS,2026-05-17 16:55:01
613418,CUST5249,TWR5,2585,2.35,SMS,17/05/2026 16:55
954567,,TWR8,3466,90.42,VOICE,2026-05-17 16:55:01
751038,CUST6692,TWR34,1671,79.49,VOICE,2026-05-17 16:55:01
812682,CUST7502,TWR19,1439,19.23,VOICE,05-17-2026 16:55:01
222318,CUST6390,TWR79,3775,72.11,VOICE,05-17-2026 16:55:01
BAD_ROW_@@@@
450997,CUST7082,TWR83,1717,93.93,DATA,05-17-2026 16:55:01
613901,,TWR72,3174,60.5,VOICE,17/05/2026 16:55
459167,,TWR12,4436,80.01,SMS,05-17-2026 16:55:01
727981,CUST9748,TWR55,2807,72.97,SMS,05-17-2026 16:55:01
905483,CUST1835,TWR50,2807,65.85,SMS,05-17-2026 16:55:01
BAD_ROW_@@@@
593813,CUST4602,TWR50,3072,14.73,DATA,17/05/2026 16:55
218193,CUST9499,TWR74,2462,-50,DATA,05-17-2026 16:55:01
808686,,TWR87,89,58.69,VOICE,17/05/2026 16:55
654108,CUST2325,TWR33,3114,93.51,SMS,05-17-2026 16:55:01
652542,CUST3639,TWR18,4364,-50,SMS,2026-05-17 16:55:01
987240,,TWR94,1676,15.85,VOICE,05-17-2026 16:55:01
292047,CUST1669,TWR5,200,59.22,DATA,05-17-2026 16:55:01
653281,,TWR83,4238,33.09,DATA,2026-05-17 16:55:01
BAD_ROW_@@@@
821038,CUST1738,TWR40,4438,13.05,SMS,17/05/2026 16:55
524295,CUST4179,TWR3,1868,-50,SMS,05-17-2026 16:55:01
459545,CUST9464,TWR19,352,35.84,SMS,05-17-2026 16:55:01
203932,CUST2194,TWR36,4737,28.02,VOICE,05-17-2026 16:55:01
621559,,TWR73,1741,46.62,SMS,2026-05-17 16:55:01
BAD_ROW_@@@@
871610,CUST8579,TWR86,4708,59.97,SMS,2026-05-17 16:55:01
425982,,TWR62,2196,22.31,SMS,17/05/2026 16:55
214783,CUST5587,TWR29,1407,20.46,SMS,2026-05-17 16:55:01
955717,CUST3561,TWR73,2705,41.87,VOICE,17/05/2026 16:55
409889,,TWR39,2536,97.94,DATA,2026-05-17 16:55:01
BAD_ROW_@@@@
158087,,TWR72,2693,28.28,VOICE,05-17-2026 16:55:01
BAD_ROW_@@@@
BAD_ROW_@@@@
972338,CUST9534,TWR36,4021,56.21,VOICE,05-17-2026 16:55:01
709088,CUST6706,TWR32,2565,-50,VOICE,05-17-2026 16:55:01
BAD_ROW_@@@@
667598,CUST2668,TWR11,2997,30.01,DATA,05-17-2026 16:55:01
898484,CUST9634,TWR60,144,33.04,DATA,2026-05-17 16:55:01
604932,CUST2138,TWR61,2832,84.54,DATA,05-17-2026 16:55:01
597566,CUST1138,TWR55,1124,-50,VOICE,2026-05-17 16:55:01
416453,CUST7849,TWR29,1372,-50,VOICE,2026-05-17 16:55:01
140314,CUST7721,TWR7,695,45.03,VOICE,17/05/2026 16:55
772779,CUST7138,TWR20,175,85.01,SMS,17/05/2026 16:55
412811,,TWR8,3764,90.08,SMS,2026-05-17 16:55:01
178986,,TWR96,1575,0.35,DATA,17/05/2026 16:55
216076,CUST3598,TWR90,1239,-50,DATA,05-17-2026 16:55:01
433882,,TWR81,4922,7.38,VOICE,05-17-2026 16:55:01
996171,,TWR21,4746,43.63,SMS,2026-05-17 16:55:01
BAD_ROW_@@@@
782957,CUST9556,TWR62,3058,36.78,SMS,17/05/2026 16:55
824752,,TWR34,2149,19.19,VOICE,05-17-2026 16:55:01
892330,CUST3611,TWR83,1122,4.41,DATA,05-17-2026 16:55:01
643512,,TWR58,4794,5.74,VOICE,05-17-2026 16:55:01
BAD_ROW_@@@@
636419,CUST7311,TWR55,578,5.42,DATA,05-17-2026 16:55:01
852001,CUST6850,TWR64,1168,24.55,DATA,2026-05-17 16:55:01
132734,CUST9227,TWR93,1280,-50,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
251389,CUST5190,TWR71,4394,94.81,SMS,17/05/2026 16:55
930508,CUST2274,TWR64,2094,-50,SMS,2026-05-17 16:55:01
772353,CUST1174,TWR26,4881,-50,SMS,17/05/2026 16:55
BAD_ROW_@@@@
569023,CUST1691,TWR17,4878,-50,VOICE,2026-05-17 16:55:01
BAD_ROW_@@@@
944872,CUST6261,TWR67,261,93.08,SMS,05-17-2026 16:55:01
902638,CUST7771,TWR95,2165,67.67,VOICE,17/05/2026 16:55
BAD_ROW_@@@@
806748,CUST2488,TWR93,2447,66.45,SMS,05-17-2026 16:55:01
BAD_ROW_@@@@
731146,,TWR38,849,7.5,DATA,05-17-2026 16:55:01
385294,CUST7090,TWR1,4737,-50,VOICE,05-17-2026 16:55:01
