,Country,Population 2026,Yearly Change,Net Change,Density (P/KmÂ²),Land Area (KmÂ²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
0,  India  ,1476625576,0.87,12760051,497.0,2973190.0,-440456,1.93,29.2,37.6,17.79
1,  China  ,1412914089,-0.22,-3182005,150.0,9388211.0,-232107,1.03,40.6,68.7,17.02
2,  United States  ,349035494,0.51,1759687,38.0,9147420.0,1177848,1.63,38.7,83.1,4.2
3,  Indonesia  ,287886782,0.76,2165546,159.0,1811570.0,-39472,2.08,30.7,60.3,3.47
4,  Pakistan  ,259299791,1.6,4080237,336.0,770880.0,-1144738,3.44,20.8,34.7,3.12
5,  Nigeria  ,242431832,2.06,4904050,266.0,910770.0,-2810,4.21,18.3,55.8,2.92
6,  Brazil  ,213562666,0.35,750261,26.0,8358140.0,-205642,1.59,35.3,91.7,2.57
7,  Bangladesh  ,177818044,1.21,2131145,1366.0,130170.0,-371398,2.09,26.3,43.2,2.14
8,  Russia  ,143394458,-0.42,-602935,9.0,16376870.0,324924,1.47,40.7,75.4,1.73
9,  Ethiopia  ,138902185,2.53,3430134,139.0,1000000.0,27298,3.72,19.3,22.9,1.67
10,  Mexico  ,132997658,0.8,1050758,68.0,1943950.0,-109844,1.85,30.0,88.3,1.6
11,  Japan  ,122427731,-0.55,-675748,336.0,364555.0,128619,1.23,50.2,93.4,1.47
12,  Egypt  ,120101175,1.47,1735180,121.0,995450.0,-52287,2.68,24.7,41.1,1.45
13,  Philippines  ,117724471,0.8,937509,395.0,298170.0,-144275,1.86,26.6,49.9,1.42
14,  DR Congo  ,116452162,3.21,3619689,51.0,2267050.0,-28843,5.8,15.9,45.4,1.4
15,  Vietnam  ,102177431,0.57,578904,330.0,310070.0,-51045,1.86,33.9,42.2,1.23
16,  Iran  ,93168497,0.81,750816,57.0,1628550.0,66848,1.66,34.5,73.5,1.12
17,  Turkey  ,87926082,0.27,240656,114.0,769630.0,-217896,1.62,33.9,77.5,1.06
18,  Germany  ,83644258,-0.51,-430817,240.0,348560.0,158442,1.46,45.7,77.0,1.01
19,  Tanzania  ,72563780,2.86,2017915,82.0,885800.0,-25275,4.41,17.6,40.8,0.87
20,  Thailand  ,71559614,-0.08,-60249,140.0,510890.0,29200,1.19,41.0,54.3,0.86
21,  United Kingdom  ,69931528,0.55,380196,289.0,241930.0,364099,1.53,40.2,84.7,0.84
22,  France  ,66746401,0.14,95597,122.0,547557.0,88533,1.64,42.5,83.0,0.8
23,  South Africa  ,65453084,1.09,705765,54.0,1213090.0,131684,2.17,28.9,66.9,0.79
24,  Italy  ,58926166,-0.37,-220094,200.0,294140.0,58272,1.22,48.6,72.4,0.71
25,  Kenya  ,58636412,1.92,1103919,103.0,569140.0,-34838,3.07,20.3,32.6,0.71
26,  Myanmar  ,55184819,0.61,334171,84.0,653290.0,-40682,2.06,30.4,34.6,0.66
27,  Colombia  ,53936226,0.96,510591,49.0,1109500.0,115815,1.6,33.0,80.5,0.65
28,  Sudan  ,53282719,3.14,1620572,30.0,1765048.0,252038,4.13,18.8,35.4,0.64
29,  Uganda  ,52761469,2.68,1376575,264.0,199810.0,-121799,3.97,17.1,30.8,0.64
30,  South Korea  ,51600388,-0.13,-66641,531.0,97230.0,62644,0.76,46.2,82.8,0.62
31,  Algeria  ,48028334,1.25,593022,20.0,2381740.0,-28841,2.62,28.8,74.8,0.58
32,  Iraq  ,48007437,2.1,986663,111.0,434320.0,-13102,3.13,21.1,73.0,0.58
33,  Spain  ,47850793,-0.08,-39165,96.0,498800.0,85305,1.24,46.3,79.6,0.58
34,  Argentina  ,46003734,0.33,152356,17.0,2736690.0,2316,1.51,33.3,96.5,0.55
35,  Afghanistan  ,45047069,2.74,1202958,69.0,652860.0,-53884,4.56,17.4,26.9,0.54
