,Unnamed: 0,name,rating,price,img_url
1,1,Tipping the Velvet,1,53.74,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
2,2,Soumission,1,50.1,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
5,5,The Requiem Red,1,22.65,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
9,9,The Black Maria,1,52.15,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
17,17,Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
20,20,In Her Wake,1,12.84,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg
16,16,Olio,1,23.88,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
33,33,The Bear and the Piano,1,36.89,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
51,51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
50,50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg
55,55,The Torch Is Passed: A Harding Family Story,1,19.09,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg
56,56,The Secret of Dreadwillow Carse,1,56.13,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
57,57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
45,45,When We Collided,1,31.77,https://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg
37,37,"In a Dark, Dark Wood",1,19.63,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
67,67,The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
82,82,"Pop Gun War, Volume 1: Gift",1,18.97,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
96,96,"Layered: Baking, Building, and Styling Spectacular Cakes",1,40.11,https://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg
86,86,orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
87,87,Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,https://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
66,66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
